,rdkit_smiles
42428,COc1ccc2cc(S(=O)(=O)N3CCN(c4ccc(C)c(Cl)c4)CC3)ccc2c1
63102,CC(C)NC(=O)NC(=O)C(C)Cl
53962,CCCCN=C(N)S
68253,CC(C)(C)NC(=O)NC(O)C(Cl)(Cl)Cl
59775,NC(=O)C(NC(=O)NCC(F)(F)F)C(N)=O
70980,CC(C)(C)[S+]([O-])CCC(=O)O
61596,CCC(CC)CN(CC(=O)NC(N)=O)CC(=O)OC
11234,CCc1cc(C2CCCN2S(=O)(=O)c2cc(C)c(C)cc2C)on1
53479,C=CCN=C(S)N(CC)CC
772,Cc1cc(C)n(C(=O)c2ccc(C)c(S(=O)(=O)N3CCCC3)c2)n1
81900,COc1ccc(S(=O)(=O)N2CCC3(CC2)OCCN3S(=O)(=O)c2cccs2)cc1OC
54828,CCCCCCN=C(N)S
47476,CC#CC[N+](C)(C)CCCCCCCCCCCC
47885,CC#CC[N+](C)(C)CCCCCCCC
47886,CC#CC[N+](C)(C)CCCCCCCCCC
8343,COc1ccc2cc(S(=O)(=O)N3CCCC3)c(=O)oc2c1
60890,CCCCCCCCCNS(=O)(=O)CCC
70989,COC(=O)C(/C(C)=N/C(NC(C)=O)(C(F)(F)F)C(F)(F)F)C(NC(C)=O)(C(F)(F)F)C(F)(F)F
40604,COc1cc(C)c(S(=O)(=O)N2CCN(c3ccccc3)CC2)cc1C
64473,COC(=O)C(Br)(C(=O)OC)C(OC)(C(=O)OC)C(=O)OC
54309,CCOC(=O)c1c(C)[nH]c(C=O)c1C
80510,CC(=O)N1CCC(C(=O)N2CCN(S(=O)(=O)c3ccc(C)c(C)c3)CC2)CC1
47652,CCOC(=O)c1sc(N)c(C#N)c1C
68061,CCOC(=O)/C=C/SC(S/C=C/C(=O)OCC)=C(C#N)C(N)=O
36653,CCOC(=O)c1cn(C)nc1S(=O)(=O)N1CCCC1
68915,CCCCCC1CCC(C2CCC(C(=O)O)CC2)CC1
63139,CC(C)OCCCNC(=O)CC1CC2CCC1C2
4172,COc1ccc(OC)c(S(=O)(=O)N2CCN(c3cccc(C)c3C)CC2)c1
48538,O=C(O)C1CCC(C(=O)O)CC1
54426,CCCNC(=O)C12CC3CCC(CC(C3)C1)C2
